File,KB,W,H,AR,Texture,Brightness,DomColor,UniqueColors,Valid
CONJ RES NARANJOS DEL CANEY VIS_APTO RPH_51m2_2hab_3.png,950.0,2550,2985,0.85,35.01,232.28,0.707,94,YES
N A_CASA NO RPH_0m2_7hab_2.jpeg,18.2,426,1024,0.42,31.45,232.13,0.883,26,YES
N A_CASA NO RPH_0m2_7hab_4.png,1024.3,2550,2985,0.85,42.7,224.31,0.512,108,YES
NO APLICA_CASA_171m2_4hab_1.png,40.2,821,716,1.15,30.69,246.85,0.933,38,YES
TURPIAL_CASA_91m2_3hab_2.jpeg,15.4,1275,148,8.61,43.13,147.5,0.398,89,YES
TURPIAL_CASA_91m2_3hab_3.jpeg,14.3,527,329,1.6,18.14,247.77,0.931,204,YES
TURPIAL_CASA_91m2_3hab_3.png,1375.2,2408,2868,0.84,41.74,209.25,0.491,119,YES
TURPIAL_CASA_91m2_3hab_3_1.png,1458.7,2408,2868,0.84,46.4,198.02,0.484,159,YES
